,operation,one,two
0,OK,كم,كم
1,OK,تظن,تظن
2,SUB,السيجارة,السيجارةكان
3,DEL,كان,
4,OK,ثمنها,ثمنها
5,SUB,فى,في
6,OK,سنة,سنة
7,SUB,١٩٠٩,١٩٩
8,DEL,م,
9,OK,لا,لا
10,SUB,ادرى,ادري
11,OK,ممن,ممن
12,SUB,القارئ,القاريء
13,INS,,ا
14,SUB,امن,من
15,SUB,الايفاع,الايقاع
16,OK,الذين,الذين
17,OK,يزدان,يزدان
18,OK,بشبابهم,بشبابهم
19,SUB,الغض,الفض
20,OK,هذا,هذا
21,OK,القرن,القرن
22,OK,العشرون,العشرون
23,SUB,ام,ا
24,INS,,م
25,OK,من,من
26,OK,المخضرمين,المخضرمين
27,OK,الذين,الذين
28,OK,ادركوا,ادركوا
29,INS,,ـ
30,SUB,مثلى,مث
31,INS,,لي
32,INS,,ـ
33,OK,القرن,القرن
34,SUB,الماضىوهو,الماضي
35,INS,,وهو
36,OK,يجود,يجود
37,OK,بانفاسه,بانفاسه
38,OK,وابوا,وابوا
39,OK,الا,الا
40,OK,ان,ان
41,OK,يركبوا,يركبوا
42,OK,هذا,هذا
43,OK,الزمن,الزمن
44,OK,بشبابهم,بشبابهم
45,OK,الدائم,الدائم
46,SUB,الذى,الذي
47,OK,يابى,يابى
48,OK,ان,ان
49,OK,يدركه,يدركه
50,SUB,الهرم,الهرماوي
51,DEL,او,
52,SUB,يرده,رده
53,INS,,ال
54,SUB,الشيب,شيب
55,OK,الى,الى
56,OK,تكلف,تكلف
57,OK,الوقار,الوقار
58,OK,وان,وان
59,OK,كان,كان
60,SUB,اعنى,اعني
61,OK,شبابهم,شبابهم
62,OK,المتلكىء,المتلكىء
63,OK,لا,لا
64,OK,يمتاز,يمتاز
65,SUB,لا,لاب
66,SUB,بغضاضة,غضاضة
67,OK,ولا,ولا
68,INS,,ب
69,SUB,ببضاضة,بضاضة
70,OK,وليكن,وليكن
71,SUB,القارئ,القارىء
72,OK,من,من
73,OK,شاء,شاء
74,OK,من,من
75,OK,المحدثين,المحدثين
76,OK,او,او
77,SUB,ممن,ممنهم
78,DEL,هم,
79,SUB,احدث,احد
80,INS,,ثم
81,SUB,منه,ته
82,OK,وان,وان
83,OK,كانوا,كانوا
84,OK,اعلى,اعلى
85,OK,سنا,سنا
86,INS,,ـ
87,OK,فهذه,فهذه
88,OK,فذلكة,فذلكة
89,OK,تاريخية,تاريخية
90,OK,يستطيع,يستطيع
91,OK,ان,ان
92,OK,ينتفع,ينتفع
93,OK,بها,بها
94,OK,اذا,اذا
95,OK,كان,كان
96,OK,له,له
97,OK,من,من
98,OK,الذكاء,الذكاء
99,OK,حظ,حظ
100,OK,وهل,وهل
