,operation,one,two
0,INS,,اولا
1,INS,,٩
2,INS,,قلت
3,INS,,هو
4,INS,,ذا
5,OK,وملت,وملت
6,OK,عليها,عليها
7,OK,فلثمت,فلثمت
8,OK,فمها,فمها
9,OK,ورفعت,ورفعت
10,OK,عينى,عينى
11,OK,فاذا,فاذا
12,OK,ابوها,ابوها
13,DEL,هو,
14,SUB,ذا,واقف
15,INS,,فى
16,INS,,مدخل
17,DEL,قلت,
18,DEL,هو,
19,SUB,الا,الاب
20,SUB,تقول,فتنحنحت
21,INS,,ونهضت
22,SUB,لى,وقلت
23,DEL,اولا,
24,OK,لقد,لقد
25,OK,كان,كان
26,OK,بيننا,بيننا
27,SUB,رهان,رهانهى
28,DEL,هى,
29,OK,تقول,تقول
30,OK,انك,انك
31,DEL,واقف,
32,DEL,فى,
33,DEL,مدخل,
34,DEL,الباب,
35,DEL,فتنحنحت,
36,DEL,ونهضت,
37,DEL,وقلت,
38,OK,نسيتنى,نسيتنى
39,OK,وانا,وانا
40,OK,اقول,اقول
41,OK,انك,انك
42,OK,لم,لم
43,SUB,تنس,تنسفهل
44,DEL,فهل,
45,OK,نسيت,نسيت
46,INS,,فش
47,SUB,فشغله,فله
48,OK,الامر,الامر
49,SUB,الجديد,الجدد
50,SUB,عما,عم
51,SUB,سبقه,اسقه
52,OK,وانساه,وانساه
53,DEL,ما,
54,SUB,راه,ماراه
55,INS,,و
56,SUB,وبدا,بدا
57,OK,عليه,عليه
58,OK,انه,انه
59,OK,لا,لا
60,OK,يعرف,يعرف
61,OK,او,او
62,OK,على,على
63,OK,الاصح,الاصح
64,OK,لا,لا
65,OK,يذكر,يذكر
66,OK,هل,هل
67,OK,نسينى,نسينى
68,OK,او,او
69,OK,لم,لم
70,OK,ينسنى,ينسنى
71,INS,,و
72,SUB,وشعرت,شعرت
73,OK,الفتاة,الفتاة
74,OK,ان,ان
75,OK,الجو,الجو
76,OK,صفا,صفا
77,OK,وان,وان
78,OK,الازمة,الازمة
79,DEL,بالطبع,
80,DEL,نسيت,
81,DEL,اعترف,
82,DEL,بالحق,
83,OK,انفرجت,انفرجت
84,OK,فنهضت,فنهضت
85,OK,اليه,اليه
86,OK,وعانقته,وعانقته
87,OK,وقالت,وقالت
88,SUB,قال,بالطبع
89,DEL,انك,
90,OK,نسيت,نسيت
91,SUB,قالت,اعترف
92,SUB,الحق,بالحق
93,DEL,اى,
94,DEL,حق,
95,OK,فعادت,فعادت
96,OK,ذاكرته,ذاكرته
97,SUB,تحاوره,تحاور
98,INS,,هوسا
99,SUB,وسالها,لها
100,INS,,الحق
101,INS,,اى
102,INS,,حقا
103,INS,,قالت
104,INS,,انك
105,INS,,نسيت
106,INS,,قال
107,INS,,نسي
108,INS,,تسس
109,INS,,ماذا
110,OK,فقلت,فقلت
111,OK,لنفسى,لنفسى
112,OK,انك,انك
113,OK,رايتنى,رايتنى
114,OK,اقبل,اقبل
115,OK,فتاتك,فتاتك
116,DEL,يا,
117,SUB,مسكين,يامسكين
118,SUB,نسيت,لقيت
119,SUB,نسيت,الفتاة
120,INS,,بعد
121,INS,,ذلك
122,SUB,ماذا,مرة
123,INS,,فقالت
124,INS,,لى
125,OK,هل,هل
126,OK,تعرف,تعرف
127,OK,انه,انه
128,OK,يخيل,يخيل
129,OK,اليه,اليه
130,OK,انه,انه
131,INS,,ر
132,SUB,رانى,انى
133,OK,اقبل,اقبل
134,DEL,ولقيت,
135,DEL,الفتاة,
136,DEL,بعد,
137,DEL,ذلك,
138,DEL,مرة,
139,DEL,فقالت,
140,DEL,لى,
141,OK,رجلا,رجلا
142,OK,او,او
143,OK,ان,ان
144,OK,رجلا,رجلا
145,OK,يقبلنى,يقبلنى
146,OK,ولكن,ولكن
147,OK,هذا,هذا
148,OK,يطوف,يطوف
149,OK,براسه,براسه
150,OK,كالحلم,كالحلم
151,OK,بل,بل
152,OK,هو,هو
153,SUB,فيما,في
154,INS,,ما
155,OK,يعتقد,يعتقد
156,OK,حلم,حلم
157,INS,,فسالتها
158,SUB,وانا,ماذا
159,SUB,قبلته,قلت
160,INS,,له
161,INS,,قال
162,INS,,تقلته
163,OK,فقط,فقط
164,OK,وماذا,وماذا
165,OK,تريد,تريد
166,OK,ان,ان
167,SUB,تقول,اقول
168,OK,له,له
169,SUB,قالت,قلت
170,SUB,ماذا,وانا
171,DEL,قلت,
172,DEL,له,
173,SUB,فسالتها,ا
174,DEL,قلت,
175,SUB,اليس,ليس
176,OK,لى,لى
177,OK,شىء,شىء
178,INS,,ا
179,INS,,ارع
180,SUB,ازعمينى,مينى
181,SUB,كابيك,كابيكا
182,SUB,او,و
183,OK,عمك,عمك
184,SUB,وقبلينى,وقبل
185,INS,,ينى
186,INS,,٠
187,OK,ام,ام
188,SUB,يجب,بجب
189,OK,ان,ان
190,OK,ارسل,ارسل
191,OK,لحيتى,لحيتى
192,SUB,اولا,او
193,INS,,لا
194,DEL,احذر,
195,OK,فصاحت,فصاحت
196,OK,بى,بى
197,INS,,احذر
198,INS,,قلت
199,OK,اذن,اذن
200,OK,هاتيها,هاتيها
201,OK,حلوة,حلوة
202,OK,طويلة,طويلة
203,INS,,ي
204,INS,,١١٨
