,operation,one,two
0,INS,,ه٠ة
1,SUB,فالحقه,فالحقهم
2,SUB,بمساعديه,ساعده
3,SUB,الكثيرين,الكثيين
4,OK,وما,وما
5,OK,لبث,لبث
6,OK,ان,ان
7,OK,صار,صار
8,OK,يعتمد,يعتمد
9,OK,عليه,عليه
10,OK,فى,فى
11,OK,تعقب,تعقب
12,SUB,الاخبار,الاخسار
13,OK,وتقصى,وتقصى
14,OK,الحقائق,الحقائق
15,OK,وراى,وراى
16,OK,المدير,المدير
17,OK,ان,ان
18,OK,سعيدا,سعيدا
19,OK,ينظر,ينظر
20,OK,الى,الى
21,OK,الكتاب,الكتاب
22,OK,الذى,الذى
23,OK,بين,بين
24,INS,,ر
25,SUB,يديه,منه
26,OK,فمسح,فمسح
27,OK,جبينه,جبينه
28,INS,,ال
29,SUB,العريض,عريض
30,DEL,ملفات,
31,DEL,خاصة,
32,SUB,بترجمة,بانامله
33,SUB,المشهورين,ثم
34,SUB,الاحوال,قال
35,OK,على,على
36,OK,فكرة,فكرة
37,OK,هل,هل
38,OK,عندكم,عندكم
39,OK,فى,فى
40,INS,,الاحوال
41,INS,,ملفات
42,INS,,خاصة
43,SUB,بانامله,بترجمة
44,INS,,المشهورين
45,INS,,فمكانما
46,INS,,تذكر
47,SUB,ثم,امراف
48,OK,قال,قال
49,OK,متى,متى
50,OK,اسست,اسست
51,OK,جريدة,جريدة
52,OK,الاحوال,الاحوال
53,INS,,٤
54,DEL,ثم,
55,DEL,كانما,
56,DEL,تذكر,
57,DEL,امرا,
58,OK,فقال,فقال
59,SUB,في,سعيد
60,DEL,الطريق,
61,OK,بعد,بعد
62,OK,الحرب,الحرب
63,OK,العظمى,العظمى
64,SUB,سنة,سنه
65,SUB,١٩١٩,١٩١٦
66,DEL,م,
67,OK,او,او
68,DEL,١٩٢٠,
69,DEL,م,
70,SUB,فقال,وقال
71,SUB,سعيد,المدير
72,OK,اذن,اذن
73,OK,لا,لا
74,OK,فائدة,فائدة
75,SUB,وقال,فقال
76,SUB,المدير,سعيد
77,OK,هل,هل
78,OK,تسمح,تسمح
79,OK,لى,لى
80,OK,ان,ان
81,SUB,اسال,اس
82,INS,,الم
83,DEL,ما,
84,SUB,هى,اهى
85,OK,الحكاية,الحكاية
86,OK,لعلى,لعلى
87,OK,استطيع,استطيع
88,OK,ان,ان
89,OK,اساعد,اساعد
90,OK,فقال,فقال
91,SUB,سعيد,المدير
92,INS,,١
93,OK,الحقيقة,الحقيقة
94,OK,انها,انها
95,OK,مسالة,مسالة
96,SUB,غريبة,غريية
97,OK,كنت,كنت
98,SUB,امس,ام
99,OK,اقرا,اقرا
100,SUB,كتابا,كتاب
101,SUB,لعبد,العد
102,OK,القادر,القادر
103,DEL,فقال,
104,DEL,المدير,
105,OK,التميمى,التميمى
106,OK,وهو,وهو
107,OK,كاتب,كاتب
108,OK,مصرى,مصرى
109,OK,وشاعر,وشاعر
110,DEL,ايضا,
111,SUB,وان,ان
