,operation,one,two
0,OK,وكانت,وكانت
1,OK,رحمها,رحمها
2,SUB,لله,الله
3,INS,,ـ
4,SUB,قوية,قائة
5,OK,ذكية,ذكية
6,INS,,و
7,SUB,ولم,لم
8,OK,اكن,اكن
9,OK,اجرؤ,اجرؤ
10,OK,ان,ان
11,OK,اكذب,اكذب
12,OK,عليها,عليها
13,OK,ولو,ولو
14,OK,انها,انها
15,OK,كانت,كانت
16,SUB,سالتنى,سالتني
17,OK,لما,لما
18,SUB,وسعنى,وسعني
19,OK,الا,الا
20,OK,ان,ان
21,OK,احدثها,احدثها
22,OK,بما,بما
23,OK,دار,دار
24,INS,,في
25,SUB,نفسى,نفسي
26,OK,من,من
27,OK,اساليب,اساليب
28,OK,الاحتيال,الاحتيال
29,OK,عليها,عليها
30,INS,,ـ
31,OK,لا,لا
32,OK,خوفا,خوفا
33,OK,منها,منها
34,OK,بل,بل
35,OK,لانها,لانها
36,SUB,عودتنى,عادتني
37,OK,ان,ان
38,OK,اصدقها,اصدقها
39,OK,والا,والا
40,OK,يكون,يكون
41,SUB,جزائى,جزائي
42,OK,على,على
43,DEL,اقتراح,
44,DEL,حسن,
45,DEL,اذهب,
46,DEL,الى,
47,OK,الصدق,الصدق
48,OK,الا,الا
49,SUB,الخير,الحي
50,OK,غير,غير
51,OK,انها,انها
52,OK,لم,لم
53,SUB,تسالنى,تسالني
54,SUB,شيئا,شيءا
55,OK,بل,بل
56,OK,وافقت,وافقت
57,OK,وقالت,وقالت
58,INS,,اقتراح
59,INS,,حسنا
60,INS,,ذهب
61,INS,,الى
62,SUB,خذ,وخذ
63,OK,منه,منه
64,OK,ما,ما
65,SUB,يكفيك,كفيك
66,OK,ولو,ولو
67,OK,كنت,كنت
68,OK,ذكيا,ذكيا
69,OK,لادركت,لادركت
70,OK,ان,ان
71,SUB,فى,في
72,OK,الامر,الامر
73,OK,سرا,سرا
74,OK,وان,وان
75,OK,وراء,وراء
76,OK,هذه,هذه
77,OK,الموافقة,الموافقة
78,OK,السريعة,السريعة
79,SUB,التى,التي
80,OK,لم,لم
81,OK,اكن,اكن
82,OK,اتوقعها,اتوقعها
83,OK,تدبيرا,تدبيرا
84,OK,خفيا,خفيا
85,INS,,و
86,SUB,ولتذكرت,لتذكر
87,OK,انها,انها
88,OK,كانت,كانت
89,SUB,تحبنى,تحبني
90,SUB,حتى,حتي
91,SUB,كانت,لكانت
92,OK,لا,لا
93,OK,تستطيع,تستطيع
94,OK,ان,ان
95,SUB,تفارقنى,تفارقني
96,OK,يوما,يوما
97,OK,واحدا,واحدا
98,OK,فكيف,فكيف
99,OK,بشهر,بشهر
100,OK,او,او
101,OK,شهرين,شهرين
102,OK,ولكن,ولكن
103,OK,خفة,خفة
104,SUB,الشباب,الشساب
105,SUB,صرفتنى,صرفتني
106,OK,عن,عن
107,OK,النظر,النظر
108,DEL,ليس,
109,DEL,معى,
110,DEL,الان,
111,DEL,الا,
112,DEL,خمسة,
113,DEL,جنيهات,
114,SUB,فى,في
115,SUB,شىء,شيء
116,OK,من,من
117,OK,هذا,هذا
118,OK,فصدقت,فصدقت
119,OK,وذهبت,وذهبت
120,OK,الى,الى
121,OK,الرجل,الرجل
122,OK,فقال,فقال
123,INS,,ليس
124,INS,,معى
125,INS,,الان
126,INS,,الا
127,INS,,خمسة
128,INS,,جنيهات
129,OK,فخذها,فخذها
130,OK,ولولا,ولولا
131,SUB,انى,اني
132,OK,مريض,مريض
133,OK,لخرجت,لخرجت
134,SUB,معك,مع
135,SUB,لاجيئك,كلاجيئك
136,SUB,بكل,بكلما
137,DEL,ما,
138,OK,تحتاج,تحتاج
139,OK,اليه,اليه
140,OK,ولكن,ولكن
141,OK,بضعة,بضعة
142,OK,ايام,ايام
143,OK,لا,لا
144,OK,تقدم,تقدم
145,OK,ولا,ولا
146,OK,تؤخر,تؤخر
147,DEL,ثمن,
148,DEL,سيجارة,
149,OK,فخرجت,فخرجت
150,SUB,مغتبطا,مقتبطا
151,OK,فما,فما
152,OK,كنت,كنت
153,OK,رايت,رايت
154,OK,قط,قط
155,OK,قبل,قبل
156,OK,ذلك,ذلك
157,OK,اليوم,اليوم
158,OK,خمسة,خمسة
159,OK,جنيهات,جنيهات
160,INS,,ـ
161,OK,ذهبا,ذهبا
162,SUB,فى,في
163,OK,كفى,كفى
164,OK,اصنع,اصنع
165,OK,بها,بها
166,OK,ما,ما
167,OK,اشاء,اشاء
168,OK,ولا,ولا
169,OK,اسال,اسال
170,SUB,عنها,عنه
171,INS,,او
172,SUB,وانسانى,انساني
173,OK,الفرح,الفرح
174,OK,ان,ان
175,SUB,كونى,كوني
176,OK,لا,لا
177,OK,اسال,اسال
178,OK,عن,عن
179,OK,هذه,هذه
180,OK,الجنيهات,الجنيهات
181,OK,ماذا,ماذا
182,OK,صنعت,صنعت
183,SUB,بها,به
184,INS,,اه
185,DEL,هو,
186,SUB,التدبير,والت
187,INS,,ديي
188,SUB,الذى,الذي
189,OK,لجات,لجات
190,OK,اليه,اليه
191,SUB,امى,امي
192,OK,اعتمادا,اعتمادا
193,SUB,على,علي
194,OK,ما,ما
195,OK,تعرف,تعرف
196,OK,من,من
197,SUB,تبذيرى,تبذيري
198,INS,,و
199,SUB,واسرافى,اسرافي
200,OK,اللذين,اللذين
201,OK,اعياها,اعياها
202,OK,علاجهما,علاجهما
203,OK,ومضت,ومضت
204,OK,ايام,ايام
205,OK,ثلاثة,ثلاثة
206,SUB,نقصت,تقصت
207,OK,الجنيهات,الجنيهات
208,SUB,التى,التي
209,SUB,معى,معي
210,OK,بعددها,بعددها
211,OK,فقد,فقد
212,OK,ابقيتها,ابقيتها
213,SUB,فى,في
214,SUB,جيبى,جيبي
215,OK,فطارت,فطارت
216,OK,واحدا,واحدا
217,OK,بعد,بعد
218,OK,واحد,واحد
219,OK,كان,كان
220,OK,لها,لها
221,OK,اجنحة,اجنحة
222,OK,فعدت,فعدت
223,OK,الى,الى
224,OK,صاحبنا,صاحبنا
225,OK,وقلت,وقلت
226,OK,له,له
227,SUB,انى,اني
228,OK,اريد,اريد
229,OK,بقية,بقية
230,OK,المبلغ,المبلغ
231,OK,اللازم,اللازم
232,SUB,لانى,لاني
233,OK,اخشى,اخشى
234,OK,الضياع,الضياع
235,OK,على,على
236,OK,كل,كل
237,OK,ما,ما
238,SUB,يعطينى,يعطيني
239,OK,فابدى,فابدى
240,OK,الاستغراب,الاستغراب
241,SUB,وسالنى,وسالني
242,OK,عما,عما
243,SUB,بقى,بقي
244,SUB,معى,معي
245,OK,من,من
