,operation,one,two
0,INS,,اسرار
1,INS,,الايات
2,INS,,١٦١
3,OK,الحس,الحس
4,OK,والحركة,والحركة
5,OK,ولهذا,ولهذا
6,OK,يحتاج,يحتاج
7,SUB,في,فى
8,OK,بقائه,بقائه
9,SUB,الدنيوي,الدنيوى
10,OK,الى,الى
11,SUB,معاونات,معاون
12,INS,,ات
13,OK,ومعونات,ومعونات
14,OK,خارجية,خارجية
15,INS,,ن
16,SUB,تعاونه,عاونه
17,OK,وتعينه,وتعينه
18,OK,وتحفظه,وتحفظه
19,OK,وتصونه,وتصونه
20,OK,عن,عن
21,OK,الافات,الافات
22,OK,والاضداد,والاضداد
23,OK,كما,كما
24,OK,قال,قال
25,SUB,وهو,هو
26,OK,القاهر,القاهر
27,OK,فوق,فوق
28,OK,عباده,عباده
29,OK,ويرسل,ويرسل
30,OK,عليكم,عليكم
31,OK,حفظة,حفظة
32,OK,وقوله,وقوله
33,OK,له,له
34,OK,معقبات,معقبات
35,OK,من,من
36,OK,بين,بين
37,OK,يديه,يديه
38,OK,ومن,ومن
39,OK,خلفه,خلفه
40,OK,يحفظونه,يحفظونه
41,OK,من,من
42,OK,امر,امر
43,OK,الله,الله
44,OK,واليه,واليه
45,OK,الاشارة,الاشارة
46,OK,بقوله,بقوله
47,OK,خلق,خلق
48,OK,الانسان,الانسان
49,OK,ضعيفا,ضعيفا
50,OK,وبقوله,وبقوله
51,OK,ان,ان
52,SUB,يسلبهم,بسلبهم
53,OK,الذباب,الذباب
54,OK,شيئا,شيئا
55,OK,لا,لا
56,OK,يستنقذوه,يستنقذوه
57,OK,منه,منه
58,OK,ضعف,ضعف
59,OK,الطالب,الطالب
60,OK,والمطلوب,والمطلوب
61,OK,وبالجملة,وبالجملة
62,OK,ليس,ليس
63,SUB,له,لهما
64,DEL,ما,
65,OK,دام,دام
66,SUB,الحياة,الحيوة
67,OK,الدنيوية,الدنيوية
68,OK,مقام,مقام
69,OK,خاص,خاص
70,SUB,في,فى
71,OK,الوجود,الوجود
72,OK,لا,لا
73,OK,يتعداه,يتعداه
74,OK,يا,يا
75,OK,اهل,اهل
76,OK,يثرب,يثرب
77,OK,لا,لا
78,OK,مقام,مقام
79,OK,لكم,لكم
80,OK,ولاجل,ولاجل
81,OK,هذه,هذه
82,OK,الخاصية,الخاصية
83,OK,يمكنه,يمكنه
84,OK,التطور,التطور
85,SUB,في,فى
86,OK,الاطوار,الاطوار
87,OK,والخروج,والخروج
88,OK,من,من
89,OK,كل,كل
90,OK,ما,ما
91,OK,له,له
92,OK,من,من
93,OK,الكون,الكون
94,OK,المستعار,المستعار
95,OK,والانتقال,والانتقال
96,OK,من,من
97,OK,هذه,هذه
98,OK,الدار,الدار
99,OK,الى,الى
100,OK,عالم,عالم
101,OK,الاخرة,الاخرة
102,OK,ودار,ودار
103,OK,الابرار,الابرار
104,OK,والمهاجرة,والمهاجرة
105,OK,من,من
106,OK,بيته,بيته
107,SUB,الذي,الذى
108,OK,فيه,فيه
109,OK,مهاجرا,مهاجرا
110,OK,الى,الى
111,OK,الله,الله
112,OK,الواحد,الواحد
113,OK,القهار,القهار
114,OK,كما,كما
115,SUB,في,فى
116,OK,قوله,قوله
117,OK,ومن,ومن
118,OK,يخرج,يخرج
119,OK,من,من
120,OK,بيته,بيته
121,OK,مهاجرا,مهاجرا
122,OK,الى,الى
123,OK,الله,الله
124,OK,ورسوله,ورسوله
125,OK,ثم,ثم
126,OK,يدركه,يدركه
127,OK,الموت,الموت
128,OK,فقد,فقد
129,SUB,وقع,وقيع
130,OK,اجره,اجره
131,OK,على,على
132,OK,الله,الله
133,OK,واذ,واذ
134,OK,ليس,ليس
135,OK,له,له
136,OK,مقام,مقام
137,OK,معين,معين
138,OK,فله,فله
139,OK,السير,السير
140,OK,الى,الى
141,OK,جميع,جميع
142,OK,المقامات,المقامات
143,OK,واذ,واذ
144,OK,ليس,ليس
145,OK,له,له
146,OK,صورة,صورة
147,OK,معينة,معينة
148,OK,فله,فله
149,OK,التصور,التصور
150,OK,بكل,بكل
151,OK,صورة,صورة
152,SUB,والتحلي,وال
153,INS,,تحلى
154,OK,بكل,بكل
155,SUB,حلية,حليه
156,OK,قال,قال
157,OK,الشاعر,الشاعر
158,OK,لقد,لقد
159,OK,صار,صار
160,SUB,قلبي,قلبى
161,OK,قابلا,قابلا
162,OK,كل,كل
