,operation,one,two
0,OK,قال,قال
1,OK,امين,امين
2,SUB,وهو,وهر
3,SUB,يخفي,خ
4,SUB,اعتزازه,اعرازا
5,SUB,واغتباطه,واغسليه
6,SUB,بحسن,حن
7,SUB,تدبيره,بديرة
8,SUB,وعرفانه,وعرة
9,SUB,بالواجبات,بايو
10,INS,,احالت
11,OK,التي,التي
12,OK,ينساها,ينساها
13,OK,الغافلون,الغافلون
14,OK,انك,انك
15,DEL,يا,
16,SUB,صاح,ياصاح
17,OK,قد,قد
18,OK,نسيت,نسيت
19,OK,ان,ان
20,SUB,الثلاجة,الملاحة
21,SUB,خالية,خايمة
22,DEL,وان,
23,SUB,الضيوف,ولذالضيوف
24,OK,قادمون,قادمون
25,OK,وقد,وقد
26,SUB,ذهبت,ذهت
27,SUB,احضرلهم,احضر
28,INS,,ل
29,OK,بعض,بعض
30,OK,الشيء,الشيء
31,SUB,فعسى,وعمي
32,OK,ان,ان
33,OK,يستطيبوه,يستطيبوه
34,OK,فضحك,فضحك
35,SUB,همام,هما
36,SUB,غيظا,غظا
37,SUB,وعجبا,وتحبا
38,OK,من,من
39,OK,اهتداء,اهتداء
40,SUB,صديقه,صداقة
41,OK,الى,الى
42,OK,العمل,العمل
43,SUB,الوحيد,الاحد
44,OK,الذي,الذي
45,OK,لا,لا
46,OK,ينبغي,ينبغي
47,OK,ان,ان
48,OK,يعمل,يعمل
49,SUB,واعتقاده,واعتقادهم
50,DEL,مع,
51,OK,ذلك,ذلك
52,OK,انه,انه
53,OK,هو,هو
54,OK,الواجب,الواجب
55,OK,الذي,الذي
56,SUB,ينبغي,يتبعي
57,OK,دون,دون
58,OK,سواه,سواه
59,SUB,وربت,وددت
60,SUB,على,عل
61,OK,كتف,كتف
62,OK,الصديق,الصديق
63,SUB,قائلا,قالا
64,OK,احسنت,احسنت
65,OK,احسنت,احسنت
66,OK,يا,يا
67,SUB,مولانا,مو
68,SUB,وما,لاذا
69,SUB,عليك,وماعليك
70,OK,الان,الان
71,OK,الا,الا
72,OK,ان,ان
73,DEL,تعدو,
74,SUB,بالقازوزة,تعدابالقازوزة
75,SUB,والفاكهة,والفا
76,INS,,كهة
77,INS,,ق
78,DEL,في,
79,OK,اثر,اثر
80,OK,الضيوف,الضيوف
81,SUB,فلا,ولاشك
82,DEL,شك,
83,SUB,انهم,امهم
84,OK,منتظروها,منتظروها
85,OK,في,في
86,OK,الطريق,الطريق
87,SUB,واراه,وارلة
88,SUB,البطاقات,المطلقات
89,OK,وما,وما
90,OK,هو,هو
91,OK,مكتوب,مكتوب
92,DEL,مدهش,
93,OK,عليها,عليها
94,SUB,فما,وا
95,OK,زاد,زاد
96,SUB,على,عل
97,OK,ان,ان
98,DEL,فغر,
99,SUB,فاه,وغرفاه
100,OK,ونطق,ونطق
101,SUB,بحكمته,حكته
102,OK,الماثورة,الماثورة
103,SUB,كلما,ا
104,INS,,ا
105,OK,ادرك,ادرك
106,SUB,خطاه,خطله
107,INS,,مدة
108,INS,,س
109,OK,حضروا,حضروا
110,OK,وعادوا,وعادوا
111,INS,,ت
112,SUB,ليس,يس
113,DEL,لهم,
114,OK,حق,حق
115,SUB,ما,اما
116,OK,كان,كان
117,SUB,يصح,صح
118,OK,ان,ان
119,OK,ينتظروا,ينتظروا
120,SUB,نعم,لعر
121,OK,كان,كان
122,OK,يصح,يصح
123,OK,ان,ان
124,OK,ينتظروا,ينتظروا
125,OK,اما,اما
126,OK,هو,هو
127,OK,فلا,فلا
128,OK,يصح,يصح
129,OK,ان,ان
130,SUB,ينتظرهم,ينتظرعم
131,INS,,و
132,DEL,في,
133,OK,البيت,البيت
134,DEL,جماعة,
135,OK,وكان,وكان
136,OK,امين,امين
137,OK,وبعض,وبعض
138,SUB,صحابه,بحلبة
139,SUB,يجلسون,جلسون
140,SUB,الى,الي
141,SUB,منتدى,منتدي
142,SUB,على,عل
143,OK,مقربة,مقربة
144,OK,من,من
145,SUB,مكتب,مكت
146,INS,,جماعة
147,INS,,المواساة
148,OK,وكلهم,وكلهم
149,OK,من,من
150,OK,شراة,شراة
151,SUB,نصيبها,لصيبا
152,SUB,المكثرين,المكث
153,SUB,فارتفعت,وارتفعت
154,SUB,الجلبة,الحية
155,SUB,والصياح,والصباح
156,OK,من,من
157,OK,جانب,جانب
158,OK,المكتب,المكتب
159,DEL,المؤاساة,
160,SUB,ونهض,وبيض
161,OK,امين,امين
162,SUB,يستطلع,يستما
163,OK,الخبر,الخبر
164,OK,وعاد,وعاد
165,OK,بعد,بعد
166,OK,دقائق,دقائق
167,SUB,فجلس,لحيس
168,SUB,وعلى,وعل
169,SUB,سيماه,سبله
170,SUB,قلة,قية
171,SUB,الاكتراث,الا
172,INS,,٢
173,INS,,١
174,INS,,مر
175,INS,,ت
176,OK,وهو,وهو
177,SUB,يقول,يمول
178,OK,انما,انما
179,SUB,هي,ه
180,SUB,النمر,الفر
181,OK,الاربع,الاربع
182,SUB,الكبيرة,الـكبيرة
