,operation,one,two
0,INS,,١٦٩
1,SUB,والايماء,الاماء
2,OK,دون,دون
3,OK,الاعراب,الاعراب
4,OK,والافصاح,والافصاح
5,SUB,وربما,ورمات
6,INS,,و
7,SUB,تواعدا,اعدا
8,OK,الى,الى
9,OK,جلسة,جلسة
10,OK,من,من
11,OK,جلسات,جلسات
12,OK,الصور,الصور
13,OK,المتحركة,المتحركة
14,SUB,في,فى
15,OK,مكان,مكان
16,DEL,لا,
17,SUB,غبار,لاغمار
18,OK,عليه,عليه
19,SUB,فيتحدثان,فتحدث
20,INS,,ان
21,SUB,بلسان,لسان
22,OK,بطل,بطل
23,SUB,الرواية,الرواة
24,SUB,وبطلتها,وبطابا
25,OK,ويسهبان,ويسهبان
26,OK,ما,ما
27,OK,احتملت,احتملت
28,OK,الكناية,الكناية
29,SUB,الاسهاب,الا
30,DEL,ثم,
31,SUB,يغيران,سابميغيران
32,SUB,سياق,ساق
33,SUB,الحديث,الجد
34,INS,,يتق
35,DEL,في,
36,OK,غير,غير
37,SUB,اقتضاب,اقتض
38,SUB,ولا,الا
39,SUB,ابتسار,ا
40,OK,وكانا,وكانا
41,SUB,اشبه,اشهب
42,SUB,بالنجمين,النجمين
43,SUB,السيارين,السيارن
44,SUB,في,فى
45,OK,المنظومة,المنظومة
46,OK,الواحدة,الواحدة
47,OK,لا,لا
48,OK,يزالان,يزالان
49,SUB,يحومان,نحو
50,INS,,ما
51,INS,,نى
52,INS,,ذ
53,DEL,في,
54,SUB,نطاق,طاق
55,OK,واحد,واحد
56,OK,ويتجاذبان,ويتجاذبان
57,OK,حول,حول
58,SUB,محور,مجور
59,OK,واحد,واحد
60,SUB,ولكنهما,ولكما
61,SUB,يحذران,ذرانا
62,SUB,التقارب,لتقارب
63,OK,لانه,لانه
64,SUB,اصطدام,اصطدا
65,DEL,ولم,
66,SUB,تكن,نكن
67,OK,هند,هند
68,SUB,وليكن,ولجكن
69,OK,اسمها,اسمها
70,SUB,هندا,هند
71,SUB,لتعتقد,التعتقد
72,SUB,الرهبانية,الرهبان
73,INS,,ة
74,INS,,ى
75,DEL,في,
76,OK,همام,همام
77,SUB,ولا,ولاليزء
78,DEL,لتزعم,
79,OK,بينها,بينها
80,OK,وبين,وبين
81,SUB,وجدانها,وجداها
82,OK,انه,انه
83,OK,معزول,معزول
84,SUB,عن,ن
85,OK,عالم,عالم
86,SUB,النساء,الذساء
87,OK,غير,غير
88,SUB,انها,امها
89,OK,لم,لم
90,OK,تكن,تكن
91,OK,تحفل,تحفل
92,OK,اتصاله,اتصاله
93,OK,بالنساء,بالنساء
94,DEL,ما,
95,SUB,دام,مادام
96,SUB,اسمهن,اسم
97,INS,,هن
98,OK,نساء,نساء
99,OK,لا,لا
100,SUB,يلوح,يالوح
101,OK,من,من
102,OK,بينهن,بينهن
103,SUB,اسم,اسه
104,OK,امراة,امراة
105,OK,واحدة,واحدة
106,OK,وشبح,وشبح
107,INS,,ع
108,SUB,غرام,رام
109,OK,واحد,واحد
110,SUB,فان,فانا
111,DEL,اسم,
112,OK,النساء,النساء
113,SUB,في,ف
114,INS,,قى
115,OK,هذه,هذه
116,OK,الحالة,الحالة
117,OK,لا,لا
118,OK,يدل,يدل
119,OK,على,على
120,OK,معنى,معنى
121,OK,ولا,ولا
122,SUB,انتقاصفيه,انتقاص
123,INS,,فهل
124,SUB,لما,ما
125,SUB,بينهما,بينما
126,OK,من,من
127,OK,رعاية,رعاية
128,SUB,واستئثار,واتت
129,INS,,ار
130,OK,فلما,فلما
131,SUB,شعرت,سعرت
132,SUB,بان,با
133,INS,,ن
134,OK,النساء,النساء
135,SUB,تحولن,تخول
136,INS,,ن
137,OK,عنده,عنده
138,OK,الى,الى
139,OK,امراة,امراة
140,OK,لها,لها
141,OK,شان,شان
142,SUB,غير,غيرشتون
143,DEL,شئون,
144,SUB,اخواتها,احراء
145,SUB,من,ءامن
146,SUB,بنات,بباتحراء
147,DEL,حواء,
148,OK,زارته,زارته
149,OK,على,على
150,SUB,حين,حي
151,SUB,غرة,نعرة
152,DEL,في,
153,SUB,مكتب,ىوتبله
154,DEL,عمله,
155,SUB,وهي,وه
156,SUB,الزيارة,الزبارة
157,SUB,الاولى,الاول
158,OK,والاخيرة,والاخيرة
159,OK,من,من
160,OK,قبيلها,قبيلها
161,INS,,و
162,SUB,ولم,لم
163,SUB,يكن,ركن
164,OK,لها,لها
165,SUB,مسوغ,مس
166,SUB,من,وعمن
167,SUB,طول,وطل
168,SUB,الغيبة,الغية
169,OK,ولا,ولا
170,OK,امتناع,امتناع
171,SUB,الحديث,حديت
172,DEL,في,
173,OK,التليفون,التليفون
174,SUB,فما,ف
175,SUB,شك,اشك
176,OK,لحظة,لحظة
177,SUB,في,فى
178,OK,غرض,غرض
179,SUB,الزيارة,الزبارة
180,OK,ولا,ولا
181,OK,في,في
182,OK,باعثها,باعثها
183,SUB,وتوقع,و
184,INS,,ووعمه
185,DEL,منها,
186,SUB,عتبا,اعتبا
187,SUB,عنيفا,عني
188,SUB,على,فاعلا
189,SUB,اسلوبها,ساو
190,INS,,بباف
191,DEL,في,
192,OK,التعبير,التعبير
193,INS,,١١
194,INS,,ارة
