,operation,one,two
0,OK,هابط,هابط
1,OK,الى,الى
2,OK,القاهرة,القاهرة
3,OK,فقد,فقد
4,OK,طال,طال
5,OK,عهده,عهده
6,SUB,باهل,باهلا
7,SUB,البيت,لست
8,INS,,مق
9,DEL,ثم,
10,DEL,قال,
11,SUB,في,الفي
12,SUB,ابتسامة,ابتساة
13,INS,,م
14,OK,ما,ما
15,OK,رايت,رايت
16,OK,قط,قط
17,INS,,ا
18,SUB,اعذب,عذب
19,OK,منها,منها
20,OK,لقد,لقد
21,OK,كانت,كانت
22,OK,شفتاه,شفتاه
23,SUB,كانما,كاما
24,SUB,تنفرجان,تنفرج
25,INS,,ان
26,OK,عن,عن
27,OK,نور,نور
28,SUB,قال,قالل
29,INS,,ا
30,SUB,ابلغ,بلغ
31,OK,عبد,عبد
32,OK,الرحمن,الرحمن
33,SUB,انا,ان
34,INS,,ا
35,SUB,سنكون,ستكون
36,OK,له,له
37,SUB,ضيفا,ضيقا
38,INS,,ا
39,OK,هنالك,هنالك
40,OK,لم,لم
41,OK,يملك,يملك
42,DEL,عبد,
43,SUB,الرحمن,عبدالرحمن
44,OK,نفسه,نفسه
45,OK,ان,ان
46,SUB,قال,ق
47,SUB,باعلى,الباعل
48,SUB,صوته,صوتهه
49,INS,,ال
50,SUB,لله,له
51,SUB,اكبر,اكيرا
52,OK,الشيخ,الشيخ
53,SUB,ضيفي,ضيوا
54,SUB,ثم,م
55,OK,اهوى,اهوى
56,INS,,ا
57,SUB,الى,لى
58,OK,صديقه,صديقه
59,OK,فقبل,فقبل
60,OK,راسه,راسه
61,OK,وهو,وهو
62,OK,يقول,يقول
63,SUB,وفي,وقى
64,OK,عينه,عينه
65,OK,دمعتان,دمعتان
66,SUB,تترقرقان,ترقرق
67,INS,,انن
68,OK,ويحك,ويحك
69,SUB,ابا,ان
70,INS,,ا
71,OK,خالد,خالد
72,INS,,د
73,OK,لم,لم
74,INS,,ا
75,SUB,اخرت,خرت
76,SUB,علي,على
77,OK,هذا,هذا
78,OK,النبا,النبا
79,INS,,ال
80,SUB,السعيد,سعيد
81,OK,ومهما,ومهما
82,OK,يكن,يكن
83,OK,من,من
84,SUB,شيء,مىء
85,OK,فقد,فقد
86,OK,سافر,سافر
87,SUB,علي,عل
88,OK,الى,الى
89,OK,القاهرة,القاهرة
90,OK,وفي,وفي
91,OK,قلبه,قلبه
92,OK,شيء,شيء
93,SUB,من,ون
94,OK,حزن,حزن
95,SUB,وشيء,وثىء
96,OK,من,من
97,INS,,ا
98,SUB,امل,مل
99,OK,وعاد,وعاد
100,DEL,الى,
101,SUB,المدينة,الىالمدينة
102,OK,وفي,وفي
103,OK,قلبه,قلبه
104,OK,كثير,كثير
105,OK,من,من
106,SUB,الحزن,الزن
107,OK,وكثير,وكثير
108,OK,من,من
109,SUB,الياس,اليا
110,INS,,ك
111,OK,الا,الا
112,DEL,من,
113,SUB,روح,تراح
114,SUB,لله,اللهه
115,OK,ولكنه,ولكنه
116,OK,قال,قال
117,OK,لصديقه,لصديقه
118,SUB,وهو,وه
119,SUB,يودعه,ويودعه
120,INS,,ه
121,INS,,سا
122,SUB,ساعود,عود
123,SUB,اليك,الئك
124,OK,بعد,بعد
125,OK,حين,حين
126,SUB,فما,ف
127,SUB,ينبغي,اينبغ
128,OK,ان,ان
129,INS,,ا
130,SUB,اتخلف,تخلف
131,OK,عن,عن
132,OK,مصاحبة,مصاحبة
133,SUB,الشيخ,اامسي
134,INS,,خخ
135,SUB,ولا,ولابد
136,DEL,بد,
137,OK,من,من
138,OK,ان,ان
139,SUB,نزور,نزار
140,OK,معه,معه
141,SUB,اهل,اه
142,INS,,ل
143,OK,البيت,البيت
144,INS,,ت
