,operation,one,two
0,INS,,٩
1,DEL,الفصل,
2,DEL,التاسع,
3,DEL,عشر,
4,OK,قالت,قالت
5,OK,نفيسة,نفيسة
6,SUB,لصديقتها,لصديقها
7,SUB,زبيدة,زائدة
8,OK,وهي,وهي
9,SUB,تواسيها,تواسها
10,OK,بين,بين
11,SUB,نوحتين,ناحتين
12,OK,حين,حين
13,SUB,انقطع,ايقطع
14,SUB,فجاة,فجاءة
15,SUB,تعديد,تعدله
16,OK,المعددة,المعددة
17,OK,وسكت,وسكت
18,SUB,الماتم,الا
19,INS,,م
20,OK,ودارت,ودارت
21,OK,عليهن,عليهن
22,OK,قهوة,قهوة
23,INS,,ير
24,SUB,يشربنها,بها
25,OK,في,في
26,OK,صمت,صمت
27,SUB,عميق,كماق
28,SUB,ودموع,ودهاع
29,SUB,منها,مها
30,OK,ما,ما
31,OK,لا,لا
32,OK,يزال,يزال
33,SUB,يساقط,ساقط
34,OK,قطرات,قطرات
35,OK,متقطعة,متقطعة
36,SUB,ومنها,وهمها
37,OK,ما,ما
38,OK,لا,لا
39,OK,يزال,يزال
40,SUB,ينهل,يذهل
41,OK,وابلا,وابلا
42,OK,غزيرا,غزيرا
43,OK,ومنها,ومنها
44,OK,ما,ما
45,OK,يريد,يريد
46,OK,ان,ان
47,OK,يجف,يجف
48,OK,لولا,لولا
49,OK,قطرة,قطرة
50,SUB,تمده,يمده
51,SUB,بين,بان
52,OK,حين,حين
53,OK,وحين,وحين
54,OK,قالت,قالت
55,OK,نفيسة,نفيسة
56,SUB,لصديقتها,لصديقيا
57,SUB,زبيدة,زيادة
58,OK,هامسة,هامسة
59,SUB,كانما,كلما
60,OK,تسر,تسر
61,OK,اليها,اليها
62,OK,شيئا,شيئا
63,OK,لو,لو
64,OK,تعلمين,تعلمين
65,SUB,اني,اي
66,OK,لا,لا
67,OK,احزن,احزن
68,SUB,على,عل
69,OK,فقد,فقد
70,SUB,امي,اي
71,OK,بمقدار,بمقدار
72,OK,ما,ما
73,OK,احزن,احزن
74,SUB,على,عل
75,SUB,دفنها,دقها
76,SUB,في,فى
77,OK,هذه,هذه
78,OK,المدينة,المدينة
79,INS,,ا
80,SUB,من,ن
81,OK,وراء,وراء
82,SUB,النهر,المر
83,OK,بعيدة,بعيدة
84,OK,عن,عن
85,SUB,ابي,اي
86,OK,واخوي,واخوي
87,SUB,اولئك,االكك
88,OK,الذين,الذين
89,OK,دفنوا,دفنوا
90,OK,في,في
91,OK,القاهرة,القاهرة
92,SUB,فهم,وهم
93,OK,لم,لم
94,SUB,يفترقوا,يفرقوا
95,OK,في,في
96,OK,الحياة,الحياة
97,OK,قط,قط
98,OK,الا,الا
99,SUB,هذه,هلءه
100,OK,الاسفار,الاسفار
101,OK,التي,التي
102,OK,كان,كان
103,OK,يعمد,يعمد
104,SUB,اليها,الها
105,SUB,ابي,اي
106,OK,لتجارته,لتجارته
