,operation,one,two
0,DEL,ترى,
1,OK,ما,ما
2,SUB,حولها,حوها
3,OK,الا,الا
4,OK,في,في
5,OK,غلاف,غلاف
6,OK,من,من
7,OK,نسيج,نسيج
8,SUB,الاطياف,الاطباق
9,OK,وكل,وكل
10,OK,ما,ما
11,OK,يذكره,يذكره
12,SUB,بعدما,بعد
13,INS,,ما
14,SUB,افترقا,اقرقا
15,OK,ان,ان
16,SUB,جسما,جيا
17,OK,غاب,غاب
18,OK,عن,عن
19,OK,النظر,النظر
20,SUB,ولم,وم
21,SUB,يشيعه,يشبعه
22,OK,وهو,وهو
23,SUB,يغيب,يقبب
24,DEL,القطيعة,
25,OK,وسار,وسار
26,SUB,في,ف
27,OK,وجهة,وجهة
28,SUB,المنزل,التزل
29,OK,وكانه,وكانه
30,SUB,يريد,راد
31,OK,ان,ان
32,SUB,يبتعد,ياتعد
33,OK,منه,منه
34,OK,لا,لا
35,OK,ان,ان
36,OK,يدنو,يدنو
37,OK,اليه,اليه
38,SUB,بخطاه,خطاه
39,SUB,وفي,وف
40,OK,يده,يده
41,OK,حقيبة,حقيبة
42,OK,صغيرة,صغيرة
43,OK,لا,لا
44,SUB,يدري,دري
45,OK,ماذا,ماذا
46,OK,يصنع,يصنع
47,SUB,بها,هل
48,SUB,ويزعم,ويذعر
49,OK,انه,انه
50,OK,يود,يود
51,SUB,لو,لر
52,OK,القاها,القاها
53,OK,في,في
54,INS,,عرض
55,SUB,عرضالصحراء,الصحراء
56,OK,لولا,لولا
57,OK,ما,ما
58,OK,فيها,فيها
59,OK,من,من
60,SUB,حديث,حديت
61,SUB,يصونه,اصو
62,INS,,ته
63,OK,عن,عن
64,OK,الافشاء,الافشاء
65,SUB,يزعم,زا
66,SUB,ذلك,ذلل
67,SUB,ويفهم,وافهم
68,OK,من,من
69,SUB,حيث,حيي
70,OK,لا,لا
71,OK,يشعر,يشعر
72,OK,ان,ان
73,SUB,ساطيا,سلطا
74,OK,لو,لو
75,OK,سطا,سطا
76,SUB,على,عل
77,OK,الحقيبة,الحقيبة
78,OK,في,في
79,OK,تلك,تلك
80,OK,اللحظة,اللحظة
81,SUB,ليمزقها,لمزقها
82,SUB,ويحرقها,وعرةها
83,SUB,لذاده,لذادة
84,SUB,عنها,عها
85,SUB,كما,ك
86,SUB,يذود,ذود
87,SUB,الشحيح,الثسح
88,OK,عن,عن
89,SUB,بقية,رقة
90,DEL,ما,
91,SUB,لديه,مالديه
92,OK,من,من
93,OK,حطام,حطام
94,SUB,ثم,م
95,OK,دخل,دخل
96,SUB,المنزل,المزل
97,OK,وتهافت,وتهافت
98,SUB,على,عل
99,OK,اقرب,اقرب
100,SUB,كرسي,كرمي
101,OK,في,في
102,OK,اقرب,اقرب
103,OK,حجرة,حجرة
104,SUB,فلو,ولو
105,SUB,شهده,شاده
106,OK,شاهد,شاهد
107,SUB,يجهل,جهل
108,OK,ما,ما
109,SUB,كان,طلن
110,OK,فيه,فيه
111,OK,لخاله,لخاله
112,OK,قادما,قادما
113,OK,من,من
114,OK,مسيرة,مسيرة
115,OK,ايام,ايام
116,DEL,لا,
117,OK,مسيرة,مسيرة
118,OK,لحظات,لحظات
119,OK,وكان,وكان
120,OK,في,في
121,SUB,المنزل,المزل
122,SUB,عشير,عشار
123,OK,قديم,قديم
124,SUB,يعلم,يعل
125,SUB,اين,ان
126,OK,ذهب,ذهب
127,OK,ومن,ومن
128,SUB,اين,ان
129,OK,عاد,عاد
130,SUB,فلما,ولما
131,OK,طال,طال
132,OK,سكوت,سكوت
133,OK,همام,همام
134,OK,وعزوفه,وعزوفه
135,OK,قال,قال
136,OK,له,له
137,OK,صاحبه,صاحبه
138,OK,يمازحه,يمازحه
139,OK,ويسليه,ويسليه
140,SUB,علام,علا
141,OK,انت,انت
142,OK,اسف,اسف
143,DEL,يا,
144,SUB,صاح,ياصاح
145,SUB,هل,ل
146,SUB,تركت,كت
147,SUB,فيها,يى
148,INS,,و
149,OK,من,من
150,OK,بقية,بقية
151,OK,وطر,وطر
152,SUB,تشتهيها,تشهها
153,OK,هل,هل
154,OK,عندها,عندها
155,OK,من,من
156,OK,متعة,متعة
157,DEL,لم,
158,SUB,تستوف,اتوف
159,SUB,شبعك,شيعك
160,INS,,تبل
161,DEL,منها,
162,DEL,فما,
163,SUB,بالك,وااليك
164,SUB,تاسى,ا
165,SUB,وتكتئب,تك
166,INS,,سلاس
167,OK,وقد,وقد
168,OK,اراحك,اراحك
169,SUB,لله,الله
170,OK,من,من
171,SUB,رفاتها,رقاما
172,OK,بعد,بعد
173,OK,ان,ان
174,SUB,نعمت,ندمت
175,SUB,بروحها,روحها
176,SUB,ولبابها,ولذا
177,SUB,عزاء,مبا
178,INS,,ع٠
179,INS,,اا
180,SUB,حسن,سن
181,OK,حين,حين
182,SUB,تكون,تمكرن
183,OK,المراة,المراة
