,operation,one,two
0,INS,,٤
1,OK,نفسه,نفسه
2,INS,,ب
3,SUB,بان,ان
4,OK,يوما,يوما
5,OK,من,من
6,OK,الايام,الايام
7,OK,قد,قد
8,SUB,يقبل,يق
9,INS,,بل
10,OK,يظهر,يظهر
11,OK,فيه,فيه
12,OK,الشيخ,الشيخ
13,SUB,على,علما
14,DEL,ما,
15,OK,يبذل,يبذل
16,OK,في,في
17,OK,سبيل,سبيل
18,SUB,العلم,العلى
19,OK,والمعرفة,والمعرفة
20,OK,من,من
21,OK,جهد,جهد
22,SUB,فيلقي,فيلق
23,OK,اليه,اليه
24,SUB,بفضل,بفض
25,SUB,من,لمن
26,OK,علمه,علمه
27,SUB,اللدني,اللدفي
28,OK,الذي,الذي
29,OK,لا,لا
30,OK,تسقط,تسقط
31,OK,منه,منه
32,OK,قطرة,قطرة
33,OK,ضئيلة,ضئيلة
34,OK,في,في
35,OK,قلب,قلب
36,OK,من,من
37,OK,القلوب,القلوب
38,SUB,الا,الام
39,SUB,ملاته,لا
40,INS,,ته
41,SUB,حكمة,حكة
42,SUB,ونورا,وتو
43,INS,,را
44,OK,وفي,وفي
45,OK,ذات,ذات
46,SUB,يوم,يوما
47,DEL,او,
48,SUB,في,وفي
49,OK,ذات,ذات
50,OK,ليلة,ليلة
51,INS,,ا
52,SUB,القى,لى
53,OK,اليه,اليه
54,OK,ابوه,ابوه
55,OK,هذه,هذه
56,OK,الكلمة,الكلمة
57,OK,التي,التي
58,OK,لفتته,لفتته
59,SUB,الى,الي
60,OK,انه,انه
61,OK,لم,لم
62,OK,يهبط,يهبط
63,OK,الى,الى
64,OK,القاهرة,القاهرة
65,OK,لما,لما
66,OK,هو,هو
67,OK,فيه,فيه
68,OK,من,من
69,OK,سعي,سعي
70,OK,وجد,وجد
71,SUB,وانما,وامه
72,SUB,هبط,اهبط
73,OK,اليها,اليها
74,SUB,لشيء,لشىء
75,OK,اخر,اخر
76,OK,قال,قال
77,OK,له,له
78,OK,ابوه,ابوه
79,OK,اذا,اذا
80,OK,كان,كان
81,OK,الغد,الغد
82,OK,فلا,فلا
83,OK,تخرج,تخرج
84,SUB,حتى,حي
85,OK,القاك,القاك
86,OK,قال,قال
87,OK,الفتى,الفتى
88,SUB,ولماذا,ولا
89,INS,,ذا
90,OK,قال,قال
91,DEL,علي,
92,SUB,لاني,عللاني
93,OK,في,في
94,OK,حاجة,حاجة
95,OK,اليك,اليك
96,OK,قال,قال
97,SUB,الفتى,القيى
98,SUB,انك,ان
99,SUB,في,كفى
100,OK,حاجة,حاجة
101,SUB,الي,الى
102,OK,اذا,اذا
103,OK,صليت,صليت
104,OK,العصر,العصر
105,INS,,ا
106,SUB,اليس,ليس
107,OK,كذلك,كذلك
108,OK,قال,قال
109,SUB,علي,عليل
110,DEL,بل,
111,OK,انا,انا
112,OK,في,في
113,OK,حاجة,حاجة
114,OK,اليك,اليك
115,OK,اذا,اذا
116,OK,صليت,صليت
117,OK,الصبح,الصبح
118,SUB,ثم,م
119,OK,انصرف,انصرف
120,OK,عنه,عنه
121,OK,الى,الى
122,INS,,بعض
123,SUB,بعضالامر,الامر
124,OK,وكان,وكان
125,SUB,علي,عل
126,OK,قد,قد
127,OK,قدر,قدر
128,SUB,في,فى
129,OK,نفسه,نفسه
130,OK,انه,انه
131,OK,اذا,اذا
132,SUB,لم,لمم
133,OK,يستوثق,يستوثق
134,OK,من,من
135,OK,ابنه,ابنه
136,OK,اول,اول
137,OK,النهار,النهار
138,OK,لم,لم
139,OK,يظفر,يظفر
140,OK,به,به
141,OK,الا,الا
142,OK,حين,حين
143,OK,يتقدم,يتقدم
144,OK,الليل,الليل
145,OK,فلما,فلما
146,OK,كان,كان
147,OK,الغد,الغد
148,SUB,صحب,حب
149,OK,ابنه,ابنه
150,OK,في,في
151,OK,زيارته,زيارته
152,OK,لبعض,لبعض
153,OK,المساجد,المساجد
154,OK,واستمع,واستمع
155,INS,,م
156,SUB,معه,عه
157,INS,,لبعض
158,SUB,لبعضالدروس,الدروس
159,OK,وقرا,وقرا
160,OK,معه,معه
161,OK,شيئا,شيئا
162,OK,من,من
163,OK,القران,القران
164,SUB,وعاد,وعادية
165,DEL,به,
166,OK,الى,الى
167,OK,البيت,البيت
168,OK,بعد,بعد
169,OK,ان,ان
170,OK,صليت,صليت
171,OK,الظهر,الظهر
172,SUB,فلم,فلر
173,OK,يفارقه,يفارقه
174,SUB,حتى,حى
175,OK,تم,تم
176,OK,عقد,عقد
177,OK,الزواج,الزواج
178,OK,وادخل,وادخل
179,OK,الفتى,الفتى
180,SUB,على,عل
181,OK,زوجه,زوجه
182,OK,بعد,بعد
183,OK,ايام,ايام
184,SUB,فلم,فله
185,OK,ينكر,ينكر
186,OK,شيئا,شيئا
187,OK,ولم,ولم
188,OK,ينحرف,ينحرف
189,SUB,عنشيء,عن
190,INS,,تيء
191,SUB,وانما,وايم
192,SUB,سعد,اسعد
193,OK,بامراته,بامراته
194,OK,السعادة,السعادة
195,OK,كلها,كلها
196,OK,واستيقن,واستيقن
197,SUB,فيما,فيا
198,OK,بينه,بينه
199,OK,وبين,وبين
200,OK,نفسه,نفسه
201,SUB,وفيما,وفيا
202,OK,بينه,بينه
203,OK,وبين,وبين
204,OK,ربه,ربه
205,OK,ان,ان
206,OK,امراته,امراته
207,OK,بارعة,بارعة
208,OK,الحسن,الحسن
209,OK,رائعة,رائعة
210,INS,,ابلج
211,SUB,الجمال,مال
212,OK,خفيفة,خفيفة
213,OK,الروح,الروح
