,operation,one,two
0,INS,,لم
1,DEL,ان,
2,SUB,العاشقين,اشقين
3,OK,يا,يا
4,SUB,مولاتي,مولاي
5,SUB,ليسا,لس
6,SUB,بعيدين,العدد
7,INS,,ينء
8,SUB,عن,ن
9,OK,هذه,هذه
10,OK,العاصمة,العاصمة
11,SUB,فاستشاطت,استشاطت
12,SUB,الملكة,المكة
13,OK,مختلجة,مختلجة
14,OK,واجفة,واجفة
15,SUB,وقالت,وقال
16,SUB,متلعثمة,تمتام
17,INS,,ثم
18,INS,,ة
19,OK,الويل,الويل
20,OK,ثم,ثم
21,OK,الويل,الويل
22,SUB,لهما,لها
23,OK,ساجعلهما,ساجعلهما
24,OK,عبرة,عبرة
25,SUB,للاجيال,الاجيال
26,OK,القادمة,القادمة
27,SUB,فقالت,فقا
28,INS,,اتحرج
29,INS,,ورياكاتبة
30,SUB,جريجوريا,سرا
31,SUB,كاتبةسرالملكة,لمدة
32,SUB,يمكن,عكن
33,OK,حدوث,حدوث
34,OK,هذا,هذا
35,OK,القران,القران
36,OK,الفظيع,الفظيع
37,OK,خطا,خطا
38,OK,يا,يا
39,SUB,مولاتي,مولاي
40,OK,وهل,وهل
41,SUB,يغتفر,يعتش
42,INS,,را
43,SUB,الاهانا,لاهانا
44,SUB,هذا,هذ
45,INS,,ا
46,SUB,الخطا,الهطاء
47,SUB,ان,اند
48,INS,,مدت
49,SUB,دستورنا,ورنات
50,SUB,تدارك,دار
51,SUB,حدوث,كحدوث
52,OK,اقتران,اقتران
53,OK,الاخوين,الاخوين
54,OK,خطا,خطا
55,OK,اذ,اذ
56,SUB,حتم,حمع
57,DEL,على,
58,SUB,كل,لكل
59,OK,امراة,امراة
60,SUB,ان,اذ
61,OK,لا,لا
62,OK,تعرف,تعرف
63,OK,الا,الا
64,OK,قرينا,قرينا
65,OK,واحدا,واحدا
66,OK,لها,لها
67,OK,فترسل,فترسل
68,OK,اليه,اليه
69,OK,مولودها,مولودها
70,OK,اذا,اذا
71,OK,كان,كان
72,OK,ذكرا,ذكرا
73,SUB,وتحتفظ,ومحتفظ
74,SUB,به,ه
75,OK,اذا,اذا
76,OK,كان,كان
77,SUB,انثى,انى
78,OK,وهكذا,وهكذا
79,SUB,تستطيع,نستطيع
80,OK,ان,ان
81,OK,تنذر,تنذر
82,SUB,بناتها,بناها
83,OK,من,من
84,OK,الاقتران,الاقتران
85,OK,ببنيه,ببنيه
86,SUB,لذلك,لذ
87,INS,,لي
88,SUB,يجب,بج
89,OK,تدارك,تدارك
90,OK,حدوث,حدوث
91,OK,هذا,هذا
92,SUB,الخطا,الحط
93,INS,,اي
94,SUB,لئلا,لا
95,OK,تنقض,تنقض
96,OK,الويلات,الويلات
97,OK,على,على
98,INS,,بد
99,SUB,بنطس,طس
100,OK,على,على
101,SUB,فلورينا,فاورينا
102,OK,ان,ان
103,SUB,تجمع,مجمع
104,OK,كل,كل
105,OK,دهاء,دهاء
106,SUB,السماء,الماء
107,OK,والارض,والارض
108,SUB,لكي,اسيتعت
109,SUB,تعتقل,قل
110,OK,ذينك,ذينك
111,OK,العشيقين,العشيقين
112,SUB,قبل,قم
113,SUB,حدوث,لحدوث
114,SUB,الخسوف,الحوف
115,SUB,تداركا,تداركن
116,INS,,ل
117,SUB,للويلات,لويلات
118,DEL,الفصل,
119,DEL,الثاني,
120,OK,الرهيبة,الرهيبة
121,SUB,وعل,و
122,INS,,على
123,OK,كل,كل
124,SUB,يمكن,ممكن
125,OK,ايتها,ايتها
126,SUB,الوزيرات,الوزرات
127,OK,ان,ان
128,OK,تفعل,تفعل
129,OK,ما,ما
130,OK,يجب,يجب
131,OK,عليها,عليها
132,OK,في,في
133,OK,اكتشاف,اكتشاف
134,OK,هذه,هذه
135,SUB,الجريمة,الرعة
136,OK,الهائلة,الهائلة
137,INS,,والا
138,INS,,فالدولة
139,INS,,ت
140,INS,,تداعوا
141,INS,,لمملكة
142,INS,,تغزى
143,INS,,والرية
144,INS,,تقتل
145,INS,,والاستقلاليس
146,INS,,دفن
147,INS,,في
148,INS,,الماق
149,INS,,المح
150,INS,,ر
151,OK,لقد,لقد
152,SUB,اعذر,اعذرمى
153,DEL,من,
