,operation,one,two
0,SUB,بى,بي
1,SUB,وجفتنى,وجفتني
2,OK,واعتاضت,واعتاضت
3,SUB,منى,مني
4,SUB,سواى,سواي
5,OK,كائنا,كائنا
6,OK,من,من
7,OK,كان,كان
8,OK,هذا,هذا
9,SUB,السوى,السوي
10,OK,وما,وما
11,SUB,حاجتى,حاجتي
12,OK,الى,الى
13,OK,علم,علم
14,OK,ما,ما
15,OK,اعلم,اعلم
16,SUB,ولماذا,ولاذا
17,OK,احقر,احقر
18,SUB,نفسى,نفسي
19,OK,وامرغ,وامرغ
20,SUB,وجهى,وجهي
21,SUB,فى,في
22,OK,التراب,التراب
23,OK,واضعه,واضعه
24,OK,عند,عند
25,SUB,قدمى,قدامي
26,SUB,امراة,مراة
27,SUB,سوء,ساءك
28,SUB,كهذه,هذه
29,OK,واهم,واهم
30,OK,بالنهوض,بالنهوض
31,OK,ولكنى,ولكنى
32,SUB,احس,احساني
33,DEL,انى,
34,SUB,قد,قدس
35,SUB,سمرت,مرت
36,OK,الى,الى
37,SUB,الكرسى,الكرسي
38,OK,او,او
39,OK,لصقت,لصقت
40,DEL,به,
41,OK,ويتجسد,ويتجسد
42,SUB,وهمى,وهمي
43,OK,ويضحكنى,ويضحكنى
44,OK,امرى,امرى
45,OK,احيانا,احيانا
46,DEL,ثم,
47,SUB,تغلبنى,تغلب
48,INS,,ني
49,OK,الكابة,الكابة
50,OK,والحزن,والحزن
51,OK,على,على
52,SUB,نفسى,نفسي
53,OK,وعليها,وعليها
54,DEL,ثم,
55,SUB,ارانى,ثمارانى
56,OK,غضبت,غضبت
57,OK,وثرت,وثرت
58,OK,وهاجت,وهاجت
59,SUB,نقمتى,نقمتي
60,OK,على,على
61,OK,هذه,هذه
62,OK,المستهترة,المستهترة
63,SUB,التى,التي
64,OK,لا,لا
65,SUB,تبالى,تبالي
66,OK,ولا,ولا
67,OK,تدرك,تدرك
68,OK,ثم,ثم
69,OK,اراجع,اراجع
70,INS,,نفسى
71,INS,,فاسالها
72,OK,ماذا,ماذا
73,OK,تريدين,تريدين
74,OK,منها,منها
75,OK,ان,ان
76,SUB,تبالى,تبالي
77,OK,امن,امن
78,OK,العدل,العدل
79,SUB,ان,انا
80,SUB,اطالبها,طالبها
81,SUB,او,اوات
82,SUB,اتوقع,وقع
83,OK,منها,منها
84,INS,,ـ
85,DEL,نفسى,
86,SUB,فاسالها,ان
87,INS,,تحفل
88,INS,,ما
89,INS,,لاتدرك
90,INS,,٤
91,OK,واستسخف,واستسخف
92,OK,من,من
93,OK,نفسى,نفسى
94,SUB,ان,انا
95,SUB,اروح,روح
96,OK,انتظر,انتظر
97,OK,من,من
98,OK,هذه,هذه
99,OK,العامية,العامية
100,DEL,ان,
101,DEL,تحفل,
102,DEL,ما,
103,DEL,لا,
104,DEL,تدرك,
105,OK,على,على
106,OK,الرغم,الرغم
107,OK,من,من
108,OK,انها,انها
109,OK,تعلمت,تعلمت
110,OK,شيئا,شيئا
111,INS,,ـ
112,OK,ان,ان
113,OK,ترتفع,ترتفع
114,OK,بنفسها,بنفسها
115,OK,الى,الى
116,OK,حيث,حيث
117,OK,ارتفعت,ارتفعت
118,SUB,انا,ان
119,SUB,ثم,اتم
120,OK,ارجع,ارجع
121,SUB,فاقول,فاق
122,SUB,ان,ولان
123,OK,المسالة,المسالة
124,OK,ليست,ليست
125,OK,مسالة,مسالة
126,SUB,تعليم,تعليما
127,DEL,او,
128,SUB,ثقافة,وثقافة
129,OK,وان,وان
130,OK,كان,كان
131,OK,التعليم,التعليم
132,OK,يهذب,يهذب
133,OK,وانقضى,وانقضى
134,OK,النهار,النهار
135,SUB,فى,في
136,OK,هذه,هذه
137,OK,الهواجس,الهواجس
138,OK,او,او
139,SUB,الخواطر,الحواطر
140,OK,واقبل,واقبل
141,OK,الليل,الليل
142,OK,ومعه,ومعه
143,OK,البرد,البرد
144,OK,فاحتجت,فاحتجت
145,OK,ان,ان
146,SUB,اقوم,اقاموا
147,DEL,وان,
148,SUB,اتمشى,نامشي
149,INS,,لا
150,SUB,لاشعر,شعر
151,INS,,م
152,SUB,بالدفء,الدفء
153,SUB,فرحت,فرحتا
154,SUB,اتمشى,تمشي
155,SUB,فى,في
156,OK,الحارة,الحارة
157,SUB,وعينى,وعيني
158,OK,على,على
159,OK,بيتها,بيتها
160,OK,وانا,وانا
161,SUB,فى,فيما
162,SUB,حماية,ية
163,OK,الظلام,الظلام
164,OK,فسمعت,فسمعت
165,OK,بعد,بعد
166,OK,قليل,قليل
167,SUB,صوت,صات
168,OK,باب,باب
169,OK,يفتح,يفتح
170,SUB,ويغلق,ويقلق
171,OK,فدنوت,فدنوت
172,OK,على,على
173,OK,اطراف,اطراف
174,OK,اصابعى,اصابعى
175,OK,فاذا,فاذا
176,OK,هو,هو
177,OK,بابها,بابها
178,SUB,واذا,وا
179,INS,,ذا
180,SUB,الخارج,الحارج
181,OK,منه,منه
182,OK,هو,هو
183,OK,الضابط,الضابط
184,SUB,السودانى,السوداني
185,OK,وكاد,وكاد
186,SUB,يختفى,يختفي
187,SUB,فى,في
188,OK,الظلام,الظلام
189,OK,ولكن,ولكن
190,DEL,فوقف,
191,DEL,الرجل,
192,DEL,وتلفت,
193,DEL,ثم,
194,DEL,كر,
195,DEL,هسسس,
196,SUB,الباب,البا
197,SUB,فتح,بفتح
198,OK,مرة,مرة
199,SUB,اخرى,اخري
200,OK,وخرج,وخرج
201,OK,منه,منه
202,SUB,صوت,صوتك
203,SUB,كهذا,هذا
204,INS,,ه
205,INS,,سسس
206,INS,,فوقف
207,INS,,الرجل
208,INS,,وتلفت
209,INS,,ثم
210,INS,,كر
211,OK,راجعا,راجعا
212,OK,ووقف,ووقف
213,OK,امام,امام
214,SUB,الباب,الاب
215,OK,وكنت,وكنت
216,OK,على,على
217,OK,مسافة,مسافة
218,OK,مترين,مترين
219,OK,منه,منه
220,OK,فادرت,فادرت
