,operation,one,two
0,INS,,اسر
1,INS,,ارالايات
2,OK,وجوده,وجوده
3,INS,,و
4,SUB,ومحدد,محدد
5,OK,يحدده,يحدده
6,DEL,بحد,
7,SUB,الخاص,بحدالخاص
8,SUB,ويخرجه,وبخرجه
9,DEL,من,
10,SUB,القوة,منالقوة
11,DEL,الى,
12,SUB,الفعل,الىالفعل
13,SUB,ومن,ومنالاب
14,SUB,الامكان,مكان
15,OK,الى,الى
16,OK,الوجوب,الوجوب
17,DEL,اذ,
18,DEL,كل,
19,DEL,ما,
20,SUB,ليست,اذكلماليست
21,OK,حقيقته,حقيقته
22,OK,حقيقة,حقيقة
23,SUB,الوجود,الـوجود
24,SUB,فلا,فلابقتضى
25,DEL,يقتضي,
26,OK,ماهيته,ماهيته
27,OK,وجود,وجود
28,SUB,ولا,ولاهو
29,SUB,هويته,بته
30,DEL,حدا,
31,SUB,خاصا,حداخاصا
32,OK,من,من
33,OK,الوجود,الوجود
34,OK,فيحتاج,فيحتاج
35,OK,الى,الى
36,OK,قاهر,قاهر
37,OK,عليه,عليه
38,SUB,محدد,محددله
39,DEL,له,
40,OK,مفيد,مفيد
41,SUB,لمرتبة,لمر
42,SUB,المعين,تبةالمعين
43,SUB,في,فى
44,OK,الوجود,الوجود
45,OK,وذلك,وذلك
46,SUB,المقتضي,المقتضى
47,OK,يجب,يجب
48,DEL,ان,
49,SUB,يكون,انيكون
50,OK,مقدما,مقدما
51,SUB,في,فى
52,OK,الوجود,الوجود
53,OK,على,على
54,OK,الجميع,الجميع
55,OK,تقدم,تقدم
56,OK,البسيط,البسيط
57,OK,على,على
58,SUB,المركب,المر
59,INS,,كب
60,SUB,والواحد,والواحدعلى
61,DEL,على,
62,SUB,الكثير,الكثيروالتام
63,DEL,والتام,
64,OK,على,على
65,OK,الناقص,الناقص
66,SUB,والغني,والغنى
67,OK,على,على
68,OK,الفقير,الفقير
69,OK,والفياض,والفياض
70,OK,على,على
71,OK,المفاض,المفاض
72,OK,عليه,عليه
73,DEL,فحقيقة,
74,DEL,الحق,
75,DEL,الاول,
76,DEL,هو,
77,SUB,البرهان,فحقيقةالحقالاولهوالبرهان
78,OK,على,على
79,OK,ذاته,ذاته
80,OK,والبرهان,والبرهان
81,OK,على,على
82,OK,كل,كل
83,SUB,شيء,شىء
84,OK,كما,كما
85,OK,قال,قال
86,OK,جل,جل
87,OK,شانه,شانه
88,OK,اولم,اولم
89,OK,يكف,يكف
90,OK,بربك,بربك
91,OK,انه,انه
92,OK,على,على
93,OK,كل,كل
94,SUB,شيء,شىء
95,OK,شهيد,شهيد
96,OK,فهذه,فهذه
97,OK,سبيل,سبيل
98,OK,الصديقين,الصديقين
99,OK,الذين,الذين
100,OK,يتوسلون,يتوسلون
101,DEL,به,
102,SUB,اليه,بهاليه
103,SUB,ويستدلون,وبستدلون
104,DEL,به,
105,SUB,عليه,بهعليه
106,INS,,و
107,SUB,ويستشهدون,بستشهدون
108,OK,بوجوده,بوجوده
109,OK,على,على
110,SUB,سائر,ساير
111,OK,الاشياء,الاشياء
112,OK,لا,لا
113,OK,بوجود,بوجود
114,OK,الاشياء,الاشياء
115,OK,عليه,عليه
116,SUB,كما,كمافى
117,DEL,في,
118,SUB,طريقة,طر
119,INS,,بقة
120,SUB,غيرهم,غير
121,INS,,هم
122,OK,من,من
123,OK,السالكين,السالكين
124,DEL,الذين,
125,SUB,يستدلون,الذينبستدلون
126,SUB,بوجود,بوجودالاثر
127,DEL,الاثر,
128,OK,على,على
129,OK,الصفات,الصفات
130,OK,وبالصفات,وبالصفات
131,OK,على,على
132,OK,الذات,الذات
133,SUB,وهي,و
134,INS,,هى
135,OK,طرق,طرق
136,OK,كثيرة,كثيرة
137,OK,اجودها,اجودها
138,OK,منهجان,منهجان
139,OK,احدهما,احدهما
140,SUB,معرفة,معرفةالنفس
141,DEL,النفس,
142,OK,الانسانية,الانسانية
143,SUB,وفي,و
144,INS,,فى
145,OK,انفسكم,انفسكم
146,SUB,افلا,افلانبصرون
147,SUB,تبصرون,و
148,SUB,وهذا,هذا
149,OK,اجود,اجود
150,OK,الطرق,الطرق
151,OK,بعد,بعد
152,OK,طريق,طريق
153,OK,الصديقين,الصديقين
154,OK,لان,لان
155,OK,المسلك,المسلك
156,SUB,هاهنا,هيهنا
157,OK,عين,عين
158,OK,الطالب,الطالب
159,SUB,وفي,وفى
160,SUB,طريقهم,طربقهم
161,OK,عين,عين
162,OK,المطلوب,المطلوب
163,INS,,و
164,SUB,وثانيهما,ثانيهما
165,OK,النظر,النظر
166,SUB,في,فى
167,OK,الافاق,الافاق
168,OK,والانفس,والانفس
169,OK,كما,كما
170,SUB,اشار,اشاراليه
171,DEL,اليه,
172,OK,تعالى,تعالى
173,SUB,سنريهم,سنربهم
174,SUB,اياتنا,اباننا
175,DEL,في,
176,SUB,الافاق,فىالافاق
177,DEL,وفي,
178,SUB,انفسهم,وفىانفسهم
179,OK,حتى,حتى
180,SUB,يتبين,بتبين
181,DEL,لهم,
182,DEL,انه,
183,SUB,الحق,لهمانهالحق
184,SUB,وفي,وفى
185,SUB,القران,القر
186,SUB,ايات,انايات
187,OK,كثيرة,كثيرة
188,SUB,في,فى
189,OK,هذا,هذا
190,OK,المنهج,المنهج
191,DEL,قد,
192,SUB,مدح,قدمدح
193,OK,الله,الله
194,OK,على,على
195,OK,الناظرين,الناظرين
196,SUB,في,فى
197,OK,خلق,خلق
198,SUB,السماوات,السموات
199,OK,والارض,والارض
200,OK,واثنى,واثنى
201,OK,على,على
202,SUB,المتفكرين,المتفكر
203,INS,,بن
204,SUB,في,فى
205,OK,اثار,اثار
206,OK,صنعه,صنعه
207,OK,وجوده,وجوده
208,OK,قاعدة,قاعدة
209,SUB,في,فى
210,OK,تحقيق,تحقيق
211,OK,الايمان,الايمان
212,OK,بالله,بالله
213,OK,واليوم,واليوم
214,OK,الاخر,الاخر
215,OK,قال,قال
216,OK,الله,الله
217,OK,تعالى,تعالى
218,OK,امن,امن
219,OK,الرسول,الرسول
220,OK,بما,بما
221,OK,انزل,انزل
222,OK,اليه,اليه
223,DEL,من,
224,DEL,ربه,
225,OK,والمؤمنون,والمؤمنون
226,OK,كل,كل
227,OK,امن,امن
228,OK,بالله,بالله
229,INS,,و
230,SUB,وملائكته,ملائكة
231,INS,,و
232,SUB,وكتبه,كتبه
233,INS,,و
234,SUB,ورسله,رسله
235,INS,,و
236,SUB,وقال,قال
237,OK,ومن,ومن
238,OK,يكفر,يكفر
239,OK,بالله,بالله
240,INS,,و
241,SUB,وملائكته,ملائكته
242,OK,وكتبه,وكتبه
243,OK,ورسله,ورسله
244,OK,واليوم,واليوم
245,OK,الاخر,الاخر
246,OK,فقد,فقد
247,OK,ضل,ضل
248,OK,ضلالا,ضلالا
249,SUB,بعيدا,مبينا
250,OK,دلت,دلت
251,OK,الايتان,الايتان
252,OK,على,على
253,OK,ان,ان
254,OK,الايمان,الايمان
255,OK,يحصل,يحصل
256,OK,بمعرفة,بمعرفة
257,OK,هذه,هذه
258,OK,الامور,الامور
259,INS,,و
260,SUB,والتصديق,التصديق
261,OK,بها,بها
262,INS,,و
263,SUB,وقال,قال
