,operation,one,two
0,INS,,١٦٥
1,INS,,ن
2,SUB,عذب,عذال
3,SUB,الدعابة,دعاية
4,INS,,حال
5,DEL,منشرح,
6,SUB,الصدر,صدر
7,OK,لا,لا
8,OK,يعرف,يعرف
9,SUB,الهم,الهر
10,OK,الى,الى
11,OK,قلبه,قلبه
12,OK,سبيلا,سبيلا
13,INS,,و
14,SUB,وما,ما
15,OK,دام,دام
16,OK,قد,قد
17,SUB,اجترا,اجرا
18,DEL,على,
19,SUB,ابيه,علابيه
20,OK,مرة,مرة
21,SUB,فترك,في
22,SUB,صناعة,ركصناعة
23,OK,الاحذية,الاحذية
24,OK,واستقل,واستقل
25,SUB,بامره,بامرة
26,SUB,فما,فا
27,OK,يمنعه,يمنعه
28,OK,ان,ان
29,SUB,يخرج,يحرج
30,SUB,على,علي
31,OK,ابيه,ابيه
32,OK,مرة,مرة
33,OK,اخرى,اخرى
34,OK,وقد,وقد
35,OK,فعل,فعل
36,OK,فقال,فقال
37,OK,لابيه,لابيه
38,OK,ذات,ذات
39,OK,يوم,يوم
40,OK,لا,لا
41,OK,اسمعك,اسمعك
42,SUB,تحدثني,تحدثتي
43,OK,عن,عن
44,OK,جلنار,جلنار
45,INS,,ف
46,SUB,فاني,اي
47,SUB,لم,لما
48,SUB,اخطبها,خطبها
49,OK,ولم,ولم
50,SUB,يخطر,خطر
51,OK,لي,لي
52,OK,قط,قط
53,OK,ان,ان
54,OK,اتخذها,اتخذها
55,OK,لي,لي
56,OK,زوجا,زوجا
57,OK,قال,قال
58,SUB,سليم,سلة
59,DEL,الفصل,
60,DEL,الرابع,
61,DEL,والعشرون,
62,SUB,ولكني,ولكى
63,OK,قد,قد
64,OK,خطبتها,خطبتها
65,DEL,لك,
66,SUB,قال,لثكقال
67,SUB,الفتى,الفئي
68,SUB,فاني,فاي
69,OK,لم,لم
70,SUB,افوضك,افوض
71,SUB,في,كفي
72,OK,ذلك,ذلك
73,OK,قال,قال
74,SUB,سليم,سلة
75,INS,,و
76,SUB,وقد,قد
77,SUB,خطبتها,خطبتهاامك
78,DEL,امك,
79,OK,لك,لك
80,OK,قال,قال
81,OK,الفتى,الفتى
82,SUB,ولم,ولما
83,SUB,افوضها,فاض
84,SUB,كما,هاكا
