,operation,one,two
0,SUB,ضياء,ضاء
1,OK,المستقبل,المستقبل
2,SUB,الذي,الذى
3,OK,يطلع,يطلع
4,OK,عليهما,عليهما
5,OK,مفترقين,مفترقين
6,OK,كانه,كانه
7,OK,يطمع,يطمع
8,OK,من,من
9,SUB,الدنيا,الد
10,INS,,نيا
11,SUB,في,ف
12,OK,غرام,غرام
13,OK,بغير,بغير
14,SUB,فراق,فراى
15,OK,ان,ان
16,SUB,الابن,الان
17,OK,لن,لن
18,OK,يكون,يكون
19,OK,ابنا,ابنا
20,OK,او,او
21,OK,نصف,نصف
22,SUB,ابن,ان
23,OK,وان,وان
24,OK,التحفة,التحفة
25,OK,النفيسة,النفيسة
26,OK,لن,لن
27,OK,تكون,تكون
28,SUB,صحيحة,ميحة
29,OK,او,او
30,OK,نصف,نصف
31,OK,زائفة,زائفة
32,SUB,فهي,فهى
33,OK,اما,اما
34,OK,صنعة,صنعة
35,OK,الفنان,الفنان
36,OK,المنسوبة,المنسوبة
37,OK,اليه,اليه
38,OK,والفترة,والفترة
39,OK,المردودة,المردودة
40,OK,اليها,اليها
41,OK,او,او
42,SUB,هي,هى
43,OK,ليست,ليست
44,OK,بصنعته,بصنعته
45,SUB,على,عل
46,OK,الاطلاق,الاطلاق
47,OK,فلا,فلا
48,OK,تقريب,تقريب
49,OK,ولا,ولا
50,OK,توسط,توسط
51,SUB,في,فى
52,OK,هذه,هذه
53,OK,الامور,الامور
54,OK,وهذه,وهذه
55,SUB,المراة,المرا
56,OK,بل,بل
57,OK,هذا,هذا
58,OK,العالم,العالم
59,OK,الحاشد,الحاشد
60,OK,من,من
61,OK,النساء,النساء
62,OK,لان,لان
63,OK,كل,كل
64,OK,لحظة,لحظة
65,OK,من,من
66,SUB,لحظاته,لحفظاته
67,SUB,معها,مدها
68,SUB,تمده,بمده
69,OK,بنسخة,بنسخة
70,OK,منها,منها
71,SUB,قلما,قلسا
72,OK,تختلط,تختلط
73,SUB,باخواتها,باخواتا
74,OK,هذه,هذه
75,OK,المراة,المراة
76,SUB,التي,التى
77,OK,لا,لا
78,OK,مراة,مراة
79,OK,غيرها,غيرها
80,OK,كيف,كيف
81,SUB,يرضاها,رضاها
82,SUB,ولديها,ولديرا
83,OK,رجل,رجل
84,OK,غيره,غيره
85,INS,,ى
86,DEL,في,
87,SUB,ابان,الن
88,SUB,هواها,هراها
89,OK,ليست,ليست
90,SUB,الحكمة,المكمة
91,SUB,هي,ه
92,SUB,التي,الى
93,SUB,تتكلم,تدكا
94,OK,هنا,هنا
95,SUB,ولكنها,ولكبا
96,SUB,هي,هى
97,OK,الطبيعة,الطبيعة
98,OK,ومن,ومن
99,INS,,د
100,DEL,ذا,
101,OK,يقاوم,يقاوم
102,SUB,الطبيعة,ااطبيعة
103,SUB,في,فى
104,OK,غوايتها,غوايتها
105,OK,غير,غير
106,SUB,الطبيعة,الوابرعة
107,SUB,في,فى
108,SUB,ثورتها,تورتها
109,OK,ان,ان
110,SUB,الصراع,ااصراع
111,SUB,هنا,هناء
112,OK,لبين,لبين
113,OK,ندين,ندين
114,SUB,متكافئين,متكافمين
115,OK,والويل,والويل
116,OK,للفريسة,للفريسة
117,OK,المطرودة,المطرودة
118,OK,بين,بين
119,OK,الندين,الندين
120,DEL,سارة,
121,OK,لا,لا
122,SUB,ساحتفظ,ساحتففظ
123,SUB,بهذه,ببذه
124,OK,التحفة,التحفة
125,SUB,واصونها,واص
126,INS,,و
127,INS,,مرا
128,SUB,جهد,جود
129,OK,ما,ما
130,INS,,ق
131,DEL,في,
132,SUB,وسعي,وسمي
133,SUB,من,ن
134,OK,احتفاظ,احتفاظ
135,OK,وصيانة,وصيانة
136,SUB,ولكنني,ولكنبى
137,OK,لن,لن
138,OK,احتفظ,احتفظ
139,SUB,بها,ها
140,OK,الا,الا
141,SUB,تحفة,حفة
142,SUB,نفيسة,نفيسه
143,OK,فاذا,فاذا
144,OK,بعتها,بعتها
145,OK,فلن,فلن
146,SUB,ابيعها,اسعها
147,SUB,الا,الاوقد
148,DEL,وقد,
149,OK,ايقنت,ايقنت
150,SUB,انني,انى
151,OK,غير,غير
152,OK,مغبون,مغبون
153,OK,فيها,فيها
154,OK,ولا,ولا
155,SUB,نادم,ناد
156,SUB,عليها,علا
157,SUB,تحفة,حفة
158,OK,بين,بين
159,SUB,يدي,ندي
160,SUB,لا,لاشك
161,DEL,شك,
162,SUB,فيها,فها
163,SUB,اقول,اقرل
164,SUB,حينا,عينا
165,OK,انها,انها
166,OK,تحفة,تحفة
167,OK,نفيسة,نفيسة
168,OK,فليس,فليس
169,SUB,في,فى
170,OK,كنوز,كنوز
171,SUB,الارضما,الارض
172,INS,,ما
173,SUB,يعدلها,يعدطا
174,SUB,ويقوم,وثو
175,INS,,ع
176,SUB,بثمنها,لسهمه
177,OK,واقول,واقول
178,OK,حينا,حينا
179,SUB,انها,ابرا
180,SUB,تحفة,فة
181,SUB,زائفة,زاءفة
182,SUB,فلو,ااو
183,SUB,بعتها,بهتها
184,SUB,بدرهم,دره
185,SUB,لما,ا
186,SUB,كنت,كنن
187,INS,,ف
